8.90	3363	24.5C	9.3
8.95	3374	24.5C	9.3
9.00	3388	24.5C	9.3
9.05	3401	24.5C	9.3
9.10	3415	24.5C	9.3
9.15	3426	24.5C	9.3
9.20	3440	24.5C	9.3
9.25	3453	24.5C	9.3
9.30	3467	24.5C	9.3
9.35	3479	24.5C	9.3
9.40	3492	24.5C	9.3
9.45	3506	24.5C	9.3
9.50	3519	24.5C	9.3
9.55	3529	24.5C	9.3
9.60	3543	24.5C	9.3
9.65	3555	24.5C	9.3
9.70	3566	24.5C	9.3
9.75	3579	24.5C	9.3
9.80	3591	24.5C	9.3
9.85	3604	24.5C	9.3
9.90	3616	24.5C	9.3
9.95	3628	24.5C	9.3
10.00	3637	24.5C	9.3
10.05	3650	24.5C	9.3
10.10	3659	24.5C	9.3
10.15	3671	24.5C	9.3
10.20	3681	24.5C	9.3
10.25	3694	24.5C	9.3
10.30	3705	24.5C	9.3
10.35	3715	24.5C	9.3
10.40	3726	24.5C	9.3
10.45	3736	24.5C	9.3
10.50	3747	24.5C	9.3
10.55	3758	24.5C	9.3
10.60	3769	24.5C	9.3
10.65	3778	24.5C	9.3
10.70	3788	24.5C	9.3
10.75	3798	24.5C	9.3
10.80	3809	24.5C	9.3
10.85	3817	24.5C	9.3
10.90	3827	24.5C	9.3
10.95	3835	24.5C	9.3
11.00	3846	24.5C	9.3
11.05	3856	24.5C	9.3
11.10	3865	24.5C	9.3
11.15	3874	24.5C	9.3
11.20	3883	24.5C	9.3
11.25	3893	24.5C	9.3
11.30	3903	24.5C	9.3
11.35	3912	24.5C	9.3
11.40	3920	24.5C	9.3
11.45	3928	24.5C	9.3
11.50	3936	24.5C	9.3
11.55	3944	24.5C	9.3
11.60	3953	24.5C	9.3
11.65	3962	24.5C	9.3
11.70	3971	24.5C	9.3
11.75	3979	24.5C	9.3
11.80	3989	24.5C	9.3
11.85	3995	24.5C	9.3
11.90	4004	24.5C	9.3
11.95	4012	24.5C	9.3
12.00	4020	24.5C	9.3
12.05	4028	24.5C	9.3
12.10	4036	24.5C	9.3
12.15	4043	24.5C	9.3
12.20	4050	24.5C	9.3
12.25	4057	24.5C	9.3
12.30	4065	24.5C	9.3
12.35	4071	24.5C	9.3
12.40	4079	24.5C	9.3
12.45	4086	24.5C	9.3
12.50	4094	24.5C	9.3
12.55	4100	24.5C	9.3
12.60	4107	24.5C	9.3
12.65	4113	24.5C	9.3
12.70	4121	24.5C	9.3
12.75	4126	24.5C	9.3
12.80	4133	24.5C	9.3
12.85	4140	24.5C	9.3
12.90	4146	24.5C	9.3
12.95	4154	24.5C	9.3
13.00	4160	24.5C	9.3
13.05	4164	24.5C	9.3
13.10	4171	24.5C	9.3
13.15	4176	24.5C	9.3
13.20	4182	24.5C	9.3
13.25	4189	24.5C	9.3
13.30	4195	24.5C	9.3
13.35	4200	24.5C	9.3
13.40	4205	24.5C	9.3
13.45	4211	24.5C	9.3
13.50	4216	24.5C	9.3
13.55	4220	24.5C	9.3
13.60	4226	24.5C	9.3
13.65	4230	24.5C	9.3
13.70	4236	24.5C	9.3
13.75	4241	24.5C	9.3
13.80	4247	24.5C	9.3
13.85	4250	24.5C	9.3
13.90	4256	24.5C	9.3
13.95	4260	24.5C	9.3
14.00	4264	24.5C	9.3
14.05	4269	24.5C	9.3
14.10	4272	24.5C	9.3
14.15	4277	24.5C	9.3
14.20	4282	24.5C	9.3
14.25	4286	24.5C	9.3
14.30	4290	24.5C	9.3
14.35	4293	24.5C	9.3
14.40	4299	24.5C	9.3
14.45	4303	24.5C	9.3
14.50	4305	24.5C	9.3
14.55	4309	24.5C	9.3
14.60	4314	24.5C	9.3
14.65	4317	24.5C	9.3
14.70	4322	24.5C	9.3
14.75	4324	24.5C	9.3
14.80	4329	24.5C	9.3
14.85	4329	24.5C	9.3
14.90	4333	24.5C	9.3
14.95	4336	24.5C	9.3
15.00	4340	24.5C	9.3
15.05	4344	24.5C	9.3
15.10	4347	24.5C	9.3
15.15	4349	24.5C	9.3
15.20	4350	24.5C	9.3
15.25	4354	24.5C	9.3
15.30	4356	24.5C	9.3
15.35	4360	24.5C	9.3
15.40	4362	24.5C	9.3
15.45	4364	24.5C	9.3
15.50	4366	24.5C	9.3
15.55	4367	24.5C	9.3
15.60	4370	24.5C	9.3
15.65	4372	24.5C	9.3
15.70	4374	24.5C	9.3
15.75	4376	24.5C	9.3
15.80	4377	24.5C	9.3
15.85	4378	24.5C	9.3
15.90	4380	24.5C	9.3
15.95	4382	24.5C	9.3
16.00	4383	24.5C	9.3
16.05	4386	24.5C	9.3
16.10	4385	24.5C	9.3
16.15	4388	24.5C	9.3
16.20	4388	24.5C	9.3
16.25	4390	24.5C	9.3
16.30	4391	24.5C	9.3
16.35	4393	24.5C	9.3
16.40	4392	24.5C	9.3
16.45	4393	24.5C	9.3
16.50	4393	24.5C	9.3
16.55	4394	24.5C	9.3
16.60	4393	24.5C	9.3
16.65	4400	24.5C	9.3
16.70	4398	24.5C	9.3
16.75	4396	24.5C	9.3
16.80	4397	24.5C	9.3
16.85	4401	24.5C	9.3
16.90	4405	24.5C	9.3
16.95	4406	24.5C	9.3
17.00	4404	24.5C	9.3
17.05	4404	24.5C	9.3
